"study","x","m"
1,0,11.027993555771
1,0,12.7110358317592
1,0,13.5723326660786
1,1,10.9918593925147
1,0,3.94602167742297
1,0,-2.1970751531426
1,0,5.20712708756629
1,0,14.9013350339153
1,0,7.16303055606761
1,1,7.33756376963479
1,1,15.9676649858094
1,1,15.9339024046099
1,0,9.45921038127022
1,1,7.03626568261154
1,0,10.4191671146229
1,1,7.42616500197358
1,0,8.44087146755072
1,0,14.0450460481344
1,0,7.89988733198706
1,1,7.40349950821475
1,0,7.3851107363029
1,1,15.0102536239471
1,0,9.20078867583787
1,1,10.9947592787868
1,1,15.6176943312196
1,0,5.32632871900553
1,1,12.8419123260445
1,0,7.33646413823352
1,0,3.08094507799266
1,1,7.88688350032816
1,0,9.12543502150958
1,0,11.6166440565457
1,1,8.50744509992262
1,1,6.34398409384398
1,0,8.29141221088133
1,0,8.11471370082108
1,0,3.94597202718737
1,2,8.77338155262886
1,0,7.42645526398092
1,1,10.9537122550514
1,0,8.78825126604665
1,1,2.80343587133566
1,0,7.97475067583353
1,1,5.13231513143043
1,0,8.98690703815469
1,0,7.84494505036867
1,0,9.85499327752786
1,1,13.662658079606
1,0,8.33991986380298
1,0,4.91176942498514
1,2,12.0397764538447
1,1,-1.87150980185505
1,1,8.22148947573651
1,1,4.48682658115299
1,0,3.74017532323025
1,1,1.99872361574168
1,0,10.2722735959943
1,1,10.9734408360421
1,0,2.36166554946725
1,0,11.0558629111656
1,0,10.8167151268828
1,0,0.914949718923096
1,0,1.57160493785613
1,0,10.0501088174386
1,1,10.0836882378512
1,1,10.7031131712127
1,0,-2.1290183518272
1,1,10.3285419616069
1,0,6.98636816906312
1,0,10.8601261253381
1,0,5.4627505999815
1,0,7.54756217464278
1,0,10.6253385832074
1,0,7.79982198514272
1,0,4.72550955881642
1,0,7.18408924058457
1,0,7.94023138170179
1,0,12.2459776164712
1,1,11.6178899245014
1,0,4.38101310687162
1,0,8.81601080415307
1,1,3.77087451909333
1,1,8.17933822184943
1,1,3.33733388402805
1,1,7.86449358483903
1,0,6.20052627529375
1,1,4.56323440646425
1,0,7.72888848609075
1,0,6.37421303471921
1,0,10.9613162330689
1,0,12.3876364212861
1,1,9.57789115939737
1,0,10.0879092846317
1,2,10.4154910058296
1,0,6.36759449354237
1,0,-1.2612318292675
1,0,5.98413664142913
1,1,4.40484121868289
1,1,21.8654598135869
1,0,10.8779880239571
1,0,12.7930999374096
1,0,18.9004489673037
1,0,6.90331088798368
1,0,8.36485295460029
1,1,5.06796661675677
1,1,7.86148461407192
1,0,10.5604385632894
1,1,14.4799064344029
1,1,13.7622645517439
1,0,12.0017982183202
1,0,7.91847906200555
1,0,7.13874167290183
1,0,11.4502472718161
1,0,2.50860466082529
1,0,4.88179958921478
1,0,4.48864980343218
1,0,8.17715197697287
1,1,6.98185369679686
1,0,3.38339433461257
1,0,11.5222100033774
2,0,11.9322596014299
2,1,-0.381847165903933
2,0,6.52608663951812
2,0,10.5698803884642
2,2,6.52665246715724
2,0,8.83170967873289
2,0,14.8512445765723
2,1,4.89259602895884
2,0,12.0908008997064
2,1,12.0873079070296
2,0,12.9343134444525
2,0,10.7848340218567
2,1,0.994947795467567
2,0,12.1290172010854
2,1,10.452364178034
2,1,16.4172567111937
2,0,12.4415127691219
2,1,17.8934585218209
2,0,5.49017471122647
2,1,10.6905351536324
2,1,10.7080870242688
2,1,12.0596275671167
2,1,5.26176944869311
2,0,6.1327778141265
2,0,8.29868486677923
2,1,9.51068590914537
2,0,4.61276426118089
2,0,6.17301113511084
2,1,9.62485254766182
2,2,8.06811260883785
2,0,8.17250959852045
2,0,2.6725433700981
2,0,8.75270793587871
2,2,16.5628859636208
2,0,6.81088468107239
2,1,7.58012844596399
2,1,6.46280748264154
2,0,10.2545937387887
2,1,9.87636374308892
2,0,13.2016145843896
2,0,4.49295799526012
2,0,10.1965410088685
2,0,2.24433198863218
2,1,17.8573033633136
2,2,16.4087468894516
2,0,6.37147264901941
2,0,14.1459623122732
2,1,8.1903459946786
2,0,7.17163025620447
2,0,12.1814691577457
2,0,7.91738987092759
2,1,11.6927163872113
2,0,5.11952739221898
2,1,15.6284032855764
2,1,13.1061372409851
2,1,7.15674561224378
2,1,15.2813052935123
2,2,20.4944265067121
2,1,5.82295816525911
2,0,1.84829353472834
2,0,9.03845451167207
2,1,20.5552297817678
2,1,12.2993853524069
2,1,16.5229389690994
2,2,18.7402466241192
2,1,7.97600208202299
2,2,14.637625139156
2,1,0.961979791267217
2,0,14.6984650861804
2,0,8.52656787147332
2,2,9.65201563500572
2,1,3.82346008853402
2,1,17.211330867883
2,0,7.16827548470223
2,1,5.91767154996933
2,0,19.9389696411247
2,2,11.5498371703268
2,1,9.78509666194563
2,1,8.43313156080945
2,1,18.5535032624762
2,0,-0.918089369256501
2,0,9.72545447626575
2,1,6.68471986936563
2,1,9.02685777433372
2,2,7.6727047306578
2,0,10.9953551803516
2,0,8.27536266300537
2,0,2.11794979853713
2,0,15.3411764720149
2,0,3.66672816687285
2,0,10.9950849551651
2,0,5.28663310258796
2,0,15.9227326103303
2,1,15.9714844851972
2,0,21.3579097738758
2,1,11.0045312723071
2,0,8.10590880271337
2,0,8.95323134519502
2,1,11.8605677479919
2,1,0.880597112333737
2,0,2.88900769871962
2,1,10.453806771803
2,1,10.7253541494779
2,0,9.95033608372244
2,1,12.9045684832645
2,1,9.65511061241234
2,2,15.4013780862629
2,2,14.6832065237025
2,1,5.66734821200763
2,1,11.1036228292123
2,1,7.19539694655676
2,2,14.4677248031601
2,0,6.49419268371777
2,0,7.2246356306969
2,0,6.29919507557945
2,1,17.2036244003154
2,0,8.19737460858536
2,1,7.78034224705066
2,1,8.67442737377665
2,1,14.2141964446848
2,0,13.4757930936256
2,1,8.31733931752227
2,1,9.64871633499301
2,1,10.267214792283
2,0,8.96257475082128
2,0,12.26525905102
2,1,7.31897962804837
2,1,13.3243440270043
2,0,9.8914201665344
2,1,10.2968901007328
2,0,2.09461215929405
2,1,9.54530109294355
2,1,2.59478330612996
2,0,19.799304926428
2,0,8.38560647086318
2,0,8.9734438459538
2,1,8.65170389119016
2,1,15.6068820124983
2,1,14.3682175189839
2,0,9.60876107406164
2,1,12.7843439666952
2,0,12.8563882361871
2,0,5.90946347256682
2,1,6.90256122682394
2,1,9.64392099187841
2,0,3.1585146049162
2,0,9.1731766531325
2,0,6.0140365439929
2,1,7.80573274183365
2,0,4.53539699714431
2,1,9.60493836828795
2,2,5.35977166023465
2,1,6.85822295447319
2,2,13.7071178309021
2,0,16.3836756504127
2,0,10.5145615603445
2,1,5.16343279017736
2,1,5.8620411513611
2,1,9.97627181404835
2,1,8.37999551933411
2,0,3.39975980063779
2,0,-1.58052156262395
2,0,13.1222459809237
2,1,6.86554369430343
2,1,9.36323933625325
2,0,3.59789491321026
2,1,13.1044667847408
2,0,7.56973075127936
2,0,6.74796621873129
2,1,13.9957532698709
2,1,14.7058719619504
2,0,11.4828965953169
2,0,10.8792721750051
2,0,9.23540941146488
2,1,7.71409893685526
2,0,14.6370497831645
2,1,6.64891370437379
2,0,8.40084653678887
2,0,5.04989199030902
2,2,13.9380128737158
2,1,14.50206085275
2,0,6.83901905186399
2,2,17.4751260210429
2,0,10.4651450328814
2,1,15.9260078013792
2,1,10.0203437754959
2,1,8.5603022189489
2,1,8.63519460413939
2,0,13.0402215121382
2,0,4.13836811061149
2,0,11.3473999111873
2,1,7.06826046554233
2,0,7.71411195158881
2,0,11.1181467255568
2,0,10.1497368939068
2,1,10.2781819546669
2,1,13.0503646018289
2,2,18.7972620962842
2,0,15.7531648351615
2,1,8.08513901207178
2,1,6.89153370249812
2,1,16.2242704266063
2,1,14.1780522097196
2,2,16.8459182586464
2,1,8.61701049700375
2,0,15.3934015052506
2,0,11.0411336738613
2,0,10.784155630189
2,0,11.6968859537996
2,0,5.49037968232242
2,0,11.4870794298708
2,1,10.1071992800224
2,1,3.31997661055152
2,1,11.2454470840557
2,0,4.95812083683878
2,0,7.86592742127225
2,1,11.5210059985634
2,0,14.1297516820614
2,1,14.4811411927673
2,0,9.81013402500395
2,0,15.8847339376417
2,2,11.1208506512947
2,0,10.2753603094543
2,2,13.5160859369593
2,2,15.9080293728147
2,1,2.43460687016946
2,1,8.6894168296072
2,2,12.5812141082344
2,1,13.438165632024
2,2,9.41456464656495
2,0,9.91693489982431
2,0,11.0771035151561
2,0,7.1403219467213
2,1,5.6368079789629
2,1,11.2252838022082
2,0,4.9803751579792
2,1,15.5334134882127
2,1,5.89819840481835
2,1,16.3180214758814
2,0,12.3473272768525
